,본문,명사
215,안녕 히로야 요즘 인스타보니까 플로깅 하는 분들 많더라고 넘 멋있더라 그래서 나도 플로깅 인증샷 올린다 너무 보여주기식 아니냐고 노노 이렇게 좋은 일은 인증샷 남겨서 다같이 동참할 수 있도록 용기를 심어주는게 좋다고 생각해 ㅎㅎ 인스타만 봐도 환경에대해 관심을 가지고 열심히 실천하는 사람들이 정말 많더라고 어쓰히어로들이 이렇게 많이 있을줄이야 앞으로 더 많아졌음 좋겠다 그치 ㅎㅎ그럼 이망 짝,"['안녕', '히로야', '요즘', '인스타', '보', '플로', '깅', '플로', '깅', '인증샷', '올린다', '식', '노노', '일', '인증샷', '다', '동참', '수', '용기', '생각', '인스타', '환경', '대해', '관심', '가지', '실천', '사람', '정말', '어', '히어로', '앞', '더', '망', '짝']"
216,와 함깨하는 에코 라이프 오늘은 자동차 공회전을 줄여봐요 자동차 공회전이란 운행을 하지 않고 엔진을 작동시키는 것을 말해요 그래서 움직이진 않지만 시동이 걸려있기 때문에 공회전을 많이 하면 할수록 이산화탄소 배출량이 증가해요 그리고 또 공회전을 많이 한다면 연료낭비가 일어날 수 있습니다 오늘은 자동차 공회전을 줄여보는건 어떨까요 자동차 공회전 줄이기 이산화탄소 온실가스 연료 낭비 불필요한 엔진시동 줄이기 지구 환경 자연 환경오염 지구온난화 기후변화 지구지킴이자동차 공회전 줄이기 이산화탄소 온실가스 연료 낭비 불필요한 엔진시동 줄이기 지구 환경 자연 환경오염 지구온난화 기후변화 지구지킴이,"['함', '에코', '라이프', '오늘', '자동차', '회전', '자동차', '회전', '운행', '엔진', '것', '말', '시동', '때문', '회전', '이산화탄소', '배출량', '증가', '또', '회전', '연료', '낭비', '수', '오늘', '자동차', '회전', '요', '자동차', '회전', '이산화탄소', '온실가스', '연료', '낭비', '엔진', '시동', '지구', '환경', '자연', '환경오염', '지구온난화', '기후변화', '지킴', '자동차', '회전', '이산화탄소', '온실가스', '연료', '낭비', '엔진', '시동', '지구', '환경', '자연', '환경오염', '지구온난화', '기후변화', '지킴']"
217,몇 주 전 불난 마트가 오늘 재오픈 마트인데 불이 났음큰장바구니 가져갈껄 그래두 회용 봉투 대신 장바구니 이용 광주시와함께 장바구니 사용해요 인증샷이벤트 광주시 광주시청 그리니 크리니 인증샷이벤트 이벤트 회용품 회용봉투 환경 보호 인스타그램이벤트 환경오염 자연 일회용봉투줄이기 일회용품줄이기 장바구니 함께해요광주시와함께 장바구니 사용해요 인증샷이벤트 광주시 광주시청 그리니 크리니 인증샷이벤트 이벤트 회용품 회용봉투 환경 보호 인스타그램이벤트 환경오염 자연 일회용봉투줄이기 일회용품줄이기 장바구니 함께해요,"['몇', '주', '전', '불', '마트', '오늘', '재', '오픈', '마트', '불', '장바구니', '껄', '회용', '봉투', '대신', '장바구니', '이용', '광주시', '장바구니', '사용', '인증샷', '이벤트', '광주시', '광주', '시청', '크리', '인증샷', '이벤트', '이벤트', '회', '용품', '회용', '봉투', '환경', '보호', '인스타그램', '이벤트', '환경오염', '자연', '일회용', '봉투', '일회용품', '장바구니', '해', '광주시', '장바구니', '사용', '인증샷', '이벤트', '광주시', '광주', '시청', '크리', '인증샷', '이벤트', '이벤트', '회', '용품', '회용', '봉투', '환경', '보호', '인스타그램', '이벤트', '환경오염', '자연', '일회용', '봉투', '일회용품', '장바구니', '해']"
218,안녕 히로야 지난 월 지구 표면 온도가 도로 평균보다 도가 높아진 것으로 확인됐데 우리는 년만에 가장 뜨거운 월을 맞이한 거야 대박이지 매 년마다 뉴스에 역대급 무더위라고 말을 하는 이유가 단순히 멘트가 아니었던 거라구 지구 평균온도가 년 안에 산업화 이전 대비 도 상승할 것이라는 예측이 나왔데 ㄷㄷ 이건 기존 예측한 시점 보다 년 더 빨라진 거래 더 무서운 건 과학자들은 현재 온실가스 감축이 즉각적으로 시행되지 않으면 도 가까이 상승할 것이라는 전망도 내놓았다는 거야 앞으로 열 많이 받은 지구의 온도를 낮추는데 우리 모두가 관심을 가지고 많은 노력을 기울여야 할 거 같아,"['안녕', '히로야', '지난', '월', '지구', '표면', '온도', '도로', '평균', '도', '것', '확인', '우리', '년', '가장', '월', '맞이', '대박', '매', '년', '뉴스', '역대', '무더위', '말', '이유', '멘트', '거', '구', '지구', '평균', '온도', '년', '안', '산업화', '이전', '대비', '도', '상승', '것', '예측', '이건', '기존', '예측', '시점', '년', '더', '거래', '더', '건', '과학자', '현재', '온실가스', '감축', '즉각', '시행', '도', '가까이', '상승', '것', '전망', '앞', '열', '지구', '온도', '우리', '모두', '관심', '가지', '노력', '거']"
219,빨간망토쌤요즘 퇴근길은 하늘이 매일 매일 다른 모습을 선물하네요 오늘은 먹구름 사이에뭔가 쏟아질 듯한 느낌의 빛이 좋은건지 나쁜건지 환경 오염으로 이제 정말 우리나라도 사계절이 사라지려나 ㅠ매일 변화무쌍한 날씨를 보게 되네요 한줄기빛 먹구름 소나기 가을 추워짐 태풍 환경오염 에너지 절약 미래 사계절 온대기후 아열대기후 봄 여름 겨울 날씨 대구 우리나라 어린이한줄기빛 먹구름 소나기 가을 추워짐 태풍 환경오염 에너지 절약 미래 사계절 온대기후 아열대기후 봄 여름 겨울 날씨 대구 우리나라 어린이,"['망토', '쌤', '요즘', '퇴근길', '하늘', '매일', '매일', '다른', '모습', '선물', '오늘', '먹구름', '사이', '뭔가', '듯', '느낌', '빛', '환경', '오염', '이제', '정말', '우리나라', '사계절', '매일', '날씨', '줄기', '빛', '먹구름', '소나기', '가을', '태풍', '환경오염', '에너지', '절약', '미래', '사계절', '온대기후', '아열대기후', '봄', '여름', '겨울', '날씨', '대구', '우리나라', '어린이', '줄기', '빛', '먹구름', '소나기', '가을', '태풍', '환경오염', '에너지', '절약', '미래', '사계절', '온대기후', '아열대기후', '봄', '여름', '겨울', '날씨', '대구', '우리나라', '어린이']"
220,곧 감귤이 그림책이 나온다죵 이 그림은 어떻게 쓰일지저도 너무너무 궁금하답니다 감귤이 그림책 동화책 감귤이일상 반려견 강아지 제주섬 바다지킴이 환경동화 환경도서 환경그림책 책 제로웨이스트 미세플라스틱 환경오염감귤이 그림책 동화책 감귤이일상 반려견 강아지 제주섬 바다지킴이 환경동화 환경도서 환경그림책 책 제로웨이스트 미세플라스틱 환경오염,"['곧', '감귤', '그림책', '죵', '이', '그림', '도', '감귤', '그림책', '동화책', '감귤', '일상', '반려견', '강아지', '제주', '섬', '바다', '지킴', '환경', '동화', '환경', '도서', '환경', '그림책', '책', '제로', '웨', '이스트', '미세', '플라스틱', '환경오염', '감귤', '그림책', '동화책', '감귤', '일상', '반려견', '강아지', '제주', '섬', '바다', '지킴', '환경', '동화', '환경', '도서', '환경', '그림책', '책', '제로', '웨', '이스트', '미세', '플라스틱', '환경오염']"
221,헤헷 저랑 닮았나요 월에 감귤이 그림책이 나오거든요 두둥 과연 이 장면은 어디에서 감귤이 그림책 동화책 감귤이일상 반려견 강아지 제주섬 바다지킴이 환경동화 환경도서 환경그림책 책 제로웨이스트 미세플라스틱 환경오염감귤이 그림책 동화책 감귤이일상 반려견 강아지 제주섬 바다지킴이 환경동화 환경도서 환경그림책 책 제로웨이스트 미세플라스틱 환경오염,"['저', '월', '감귤', '그림책', '두둥', '과연', '이', '장면', '어디', '감귤', '그림책', '동화책', '감귤', '일상', '반려견', '강아지', '제주', '섬', '바다', '지킴', '환경', '동화', '환경', '도서', '환경', '그림책', '책', '제로', '웨', '이스트', '미세', '플라스틱', '환경오염', '감귤', '그림책', '동화책', '감귤', '일상', '반려견', '강아지', '제주', '섬', '바다', '지킴', '환경', '동화', '환경', '도서', '환경', '그림책', '책', '제로', '웨', '이스트', '미세', '플라스틱', '환경오염']"
222,오 이게 무엇일까요 곧 감귤이 그림책이 나온다는데 이 그림은 어떻게 쓰일지 궁금하눼욥 감귤이 그림책 동화책 감귤이일상 반려견 강아지 제주섬 바다지킴이 환경동화 환경도서 환경그림책 책 제로웨이스트 미세플라스틱 환경오염감귤이 그림책 동화책 감귤이일상 반려견 강아지 제주섬 바다지킴이 환경동화 환경도서 환경그림책 책 제로웨이스트 미세플라스틱 환경오염,"['오', '이', '무엇', '요', '곧', '감귤', '그림책', '이', '그림', '눼욥', '감귤', '그림책', '동화책', '감귤', '일상', '반려견', '강아지', '제주', '섬', '바다', '지킴', '환경', '동화', '환경', '도서', '환경', '그림책', '책', '제로', '웨', '이스트', '미세', '플라스틱', '환경오염', '감귤', '그림책', '동화책', '감귤', '일상', '반려견', '강아지', '제주', '섬', '바다', '지킴', '환경', '동화', '환경', '도서', '환경', '그림책', '책', '제로', '웨', '이스트', '미세', '플라스틱', '환경오염']"
223,리그램 환경오염 어디까지 알고 있나요 영화 삼진그룹 영어토익반 의 모티브가 된 낙동강 페놀유출 사건부터 새로 등장한 미세 플라스틱 문제까지 한국의 다양한 환경오염 사건과 쓰레기 문제들이 있는데요 자세한 내용은 카드뉴스를 확인해주세요 아울러 계정도 많은 관심과 팔로우 부탁해요 환경 쓰레기 환경오염 아리랑 아리랑티비 한국 역사 한국사 국난극복 환경문제 대외활동 대외활동맞팔 대외활동계정 맞팔 대학생 환경 쓰레기 환경문제 공부 카드뉴스 영화 좋반 소통 논장판 기 아리랑고개를넘어왔조리그램 환경 쓰레기 환경오염 아리랑 아리랑티비 한국 역사 한국사 국난극복 환경문제 대외활동 대외활동맞팔 대외활동계정 맞팔 대학생 환경 쓰레기 환경문제 공부 카드뉴스 영화 좋반 소통 논장판 기 아리랑고개를넘어왔조,"['리그', '램', '환경오염', '어디', '알', '영화', '삼진', '그룹', '영어', '토익', '반', '의', '모티브', '낙동강', '페놀', '유출', '사건', '등장', '미세', '플라스틱', '문제', '한국', '환경오염', '사건', '쓰레기', '문제', '내용', '카드', '뉴스', '확인', '계정', '관심', '팔로우', '부탁', '환경', '쓰레기', '환경오염', '아리랑', '아리랑', '티비', '한국', '역사', '한국사', '국난', '극복', '환경문제', '대외', '활동', '대외', '활동', '맞팔', '대외', '활동', '계정', '맞팔', '대학생', '환경', '쓰레기', '환경문제', '공부', '카드', '뉴스', '영화', '반', '소통', '논', '장판', '기', '아리랑', '고개', '조리', '그램', '환경', '쓰레기', '환경오염', '아리랑', '아리랑', '티비', '한국', '역사', '한국사', '국난', '극복', '환경문제', '대외', '활동', '대외', '활동', '맞팔', '대외', '활동', '계정', '맞팔', '대학생', '환경', '쓰레기', '환경문제', '공부', '카드', '뉴스', '영화', '반', '소통', '논', '장판', '기', '아리랑', '고개', '조']"
224,환경오염 어디까지 알고 있나요 영화 삼진그룹 영어토익반 의 모티브가 된 낙동강 페놀유출 사건부터 새로 등장한 미세 플라스틱 문제까지 한국의 다양한 환경오염 사건과 쓰레기 문제들이 있는데요 자세한 내용은 카드뉴스를 확인해주세요 환경 쓰레기 환경오염 아리랑 아리랑티비 한국 역사 한국사 국난극복 환경문제 대외활동 대외활동맞팔 대외활동계정 맞팔 대학생 환경 쓰레기 환경문제 공부 카드뉴스 영화 좋반 소통 논장판 기 아리랑고개를넘어왔조환경 쓰레기 환경오염 아리랑 아리랑티비 한국 역사 한국사 국난극복 환경문제 대외활동 대외활동맞팔 대외활동계정 맞팔 대학생 환경 쓰레기 환경문제 공부 카드뉴스 영화 좋반 소통 논장판 기 아리랑고개를넘어왔조,"['환경오염', '어디', '알', '영화', '삼진', '그룹', '영어', '토익', '반', '의', '모티브', '낙동강', '페놀', '유출', '사건', '등장', '미세', '플라스틱', '문제', '한국', '환경오염', '사건', '쓰레기', '문제', '내용', '카드', '뉴스', '확인', '환경', '쓰레기', '환경오염', '아리랑', '아리랑', '티비', '한국', '역사', '한국사', '국난', '극복', '환경문제', '대외', '활동', '대외', '활동', '맞팔', '대외', '활동', '계정', '맞팔', '대학생', '환경', '쓰레기', '환경문제', '공부', '카드', '뉴스', '영화', '반', '소통', '논', '장판', '기', '아리랑', '고개', '환경', '쓰레기', '환경오염', '아리랑', '아리랑', '티비', '한국', '역사', '한국사', '국난', '극복', '환경문제', '대외', '활동', '대외', '활동', '맞팔', '대외', '활동', '계정', '맞팔', '대학생', '환경', '쓰레기', '환경문제', '공부', '카드', '뉴스', '영화', '반', '소통', '논', '장판', '기', '아리랑', '고개', '조']"
225,산본중심상가 샐러디샐러드 먹고 배가 찹니다 토핑도 추가할 수 있거든요 메뉴판에 친절하게 비건 표시가 되어있답니다 단호박두부웜볼 주문 후 토핑 추가를 원할 경우 표시된 토핑으로 드레싱은 따로 비건 표기가 안돼있지만방문 전 비건편의점 예습 결과 레몬드레싱 비건입니다 너무 신맛일까봐 걱정했는데 딱 좋은 상큼함이에요 갑작스럽게 방문하게되어 일회용품에 담아왔어요 반성중 다회용기 챙겨갑시닷 신선한 채소 아삭아삭 먹고싶은 날 샐러디에서 비건 한끼 군포에서채식하기 군포채식 채식주의자 비건 군포비건 산본비건 탄소발자국 탄소발자국줄이기 환경오염 기후위기 환경보호 지구온도 탄소배출 지구온난화 기후미식 샐러디비건 산본샐러드 샐러드추천 채소습관 건강식단산본중심상가 샐러디샐러드 단호박두부웜볼 비건편의점 레몬드레싱 군포에서채식하기 군포채식 채식주의자 비건 군포비건 산본비건 탄소발자국 탄소발자국줄이기 환경오염 기후위기 환경보호 지구온도 탄소배출 지구온난화 기후미식 샐러디비건 산본샐러드 샐러드추천 채소습관 건강식단,"['산본', '중심', '상가', '디', '샐러드', '배', '토핑', '추가', '수', '메뉴판', '비건', '표시', '단호박', '두부', '웜볼', '주문', '후', '토핑', '추가', '경우', '표시', '토핑', '드레싱', '비건', '표기', '방문', '전', '비건', '편의점', '예습', '결과', '레몬', '드레싱', '비건', '신맛', '걱정', '상큼', '함', '방문', '일회용품', '반성', '회', '용기', '닷', '채소', '날', '디', '비건', '끼', '군포', '채식', '군포', '채식', '채식주의자', '비건', '군포', '비건', '산본', '비건', '탄소발자국', '탄소발자국', '환경오염', '기후', '위기', '환경보호', '지구', '온도', '탄소', '배출', '지구온난화', '후미', '디', '비건', '산본', '샐러드', '샐러드', '추천', '채소', '습관', '건강', '식단', '산본', '중심', '디', '샐러드', '단호박', '두부', '웜볼', '비건', '편의점', '레몬', '드레싱', '군포', '채식', '군포', '채식', '채식주의자', '비건', '군포', '비건', '산본', '비건', '탄소발자국', '탄소발자국', '환경오염', '기후', '위기', '환경보호', '지구', '온도', '탄소', '배출', '지구온난화', '후미', '디', '비건', '산본', '샐러드', '샐러드', '추천', '채소', '습관', '건강', '식단']"
226,드뎌 완성 이번 작품 재료들은 일회용 페트병 페트병을 자르고 녹여 형태를 만들고 색칠해 완성했당 지구를 살릴 수 있나요 제가 이 작품을 만든 의도는 해변 근처의 물속에 버려진 쓰레기들을 보면서 이러다가는 물고기 뿐만 아니라 인간들도 곧 지구에서 살지 못하는 날이 올것 같단 무서운 생각에 만들게 되었습니다 제가 표현한 작품의 재료는 재활용 플라스틱 입니다 일회용 페트병 일회용 안약통 플라스틱 장난감 케이스 들을 자르고 녹여서 모양을 잡고 물감으로 색칠 하였습니다 실제로 버려져 있는 재료를 주워 붙인것들도 있습니다 작품 속 물고기들은 물이 오염되서 방동면을 쓰고 헤험치며 살아가고 있습니다 모래 위에는 음료수 캔 아이스크림 수저 배드민턴 채 같은 쓰레기들이 수북하고 그물망이 몸에 감겨있는 성게는 캡슐통에 이쑤시게를 붙여서 만들었습니다 꽃게는 네모난 플라스틱으로 머리를 다리는 플라스틱을 자르고 녹여서 모양을 잡아 만들었고 글루건 심지를 불에 녹여서 근육을 표현했습니다 그리고 다른 물고기들도 만든 과정은 비슷합니다 바다 속도 마찬가지로 쓰레기에 둘러 쌓여있는 여러 종류의 물고기들이 보입니다 방동면을 쓰고 있는 복어 캡슐통 이쑤시게 는 쓰레기들한테 치어서 가시를 세우고 있습니다 문어는 다리에 그물망이 걸려있고 물미역 속에 숨어있는 작은 물고기들 일회용 안약통 이나 해파리 음료수통 등등 다들 방독면을 쓰고 쓰레기를 피해 다니고 있습니다 사람들이 쓰레기를 버려 하루에 죽는 물고기들의 수는 수백마리라고 합니다 바다속에 버려진 쓰레기를 물고기가 먹고 마시고 수세미 그물 비닐 철사 등 위험한 것들이 몸에 감기거나 끼어서 죽고 있습니다 더이상 생명들이 죽지않게 쓰레기들을 아무데나 버리지 말아주세요 환경을 위해 일회용품 쓰는것을 줄이고 쓰레기는 꼭 쓰레기통에 버려주세요 쓰레기로 인해 바다속 생물들이 더이상 죽지 않았으면 좋겠습니다 이상 이은세 였습니다 살 이은세작가 대한민국환경사랑공모전 정크아트 일회용품 일회용품줄이기 환경오염 환경보호 공예공모전 학생공모전 언스쿨링 자기주도작업살 이은세작가 대한민국환경사랑공모전 정크아트 일회용품 일회용품줄이기 환경오염 환경보호 공예공모전 학생공모전 언스쿨링 자기주도작업,"['드뎌', '완성', '이번', '작품', '재료', '일회용', '페트병', '페트병', '형태', '색칠', '완성', '지구', '수', '제', '이', '작품', '의도', '해변', '근처', '물속', '버려진', '쓰레기', '물고기', '뿐', '인간', '곧', '지구', '살', '날', '생각', '제', '표현', '작품', '재료', '재활용', '플라스틱', '일회용', '페트병', '일회용', '안약', '통', '플라스틱', '장난감', '케이스', '녹', '모양', '잡고', '물감', '색칠', '실제', '재료', '작품', '속', '물고기', '물이', '오염', '방', '동면', '헤험치', '모래', '위', '음료수', '캔', '아이스크림', '수저', '배드민턴', '채', '쓰레기', '그물', '망', '몸', '감', '성게', '캡슐', '통', '이', '를', '꽃게', '네모', '플라스틱', '머리', '플라스틱', '녹', '모양', '글루건', '심지', '불', '녹', '근육', '표현', '다른', '물고기', '과정', '바다', '속도', '마찬가지', '쓰레기', '여러', '종류', '물고기', '방', '동면', '복어', '캡슐', '통', '이', '쓰레기', '가시', '문어', '다리', '그물', '망', '물', '미역', '속', '물고기', '일회용', '안약', '통', '이나', '해파리', '음료', '수통', '등등', '방독면', '쓰레기', '피해', '사람', '쓰레기', '하루', '물고기', '수', '마리', '바다', '속', '버려진', '쓰레기', '물고기', '수세미', '그물', '비닐', '철사', '등', '것', '몸', '더', '이상', '생명', '죽지', '쓰레기', '데', '환경', '위해', '일회용품', '줄', '쓰레기', '꼭', '쓰레기통', '쓰레기', '바다', '속', '생물', '더', '이상', '죽지', '이상', '이은세', '살', '이은세', '작가', '대한민국', '환경', '사랑', '공모전', '정', '아트', '일회용품', '일회용품', '환경오염', '환경보호', '공예', '공모전', '학생', '공모전', '스쿨', '링', '자기', '주도', '작업', '살', '이은세', '작가', '대한민국', '환경', '사랑', '공모전', '정', '아트', '일회용품', '일회용품', '환경오염', '환경보호', '공예', '공모전', '학생', '공모전', '스쿨', '링', '자기', '주도', '작업']"
227,지구를 위한 한 장의 시간 나무 숲보다 거대한 이산화탄소 저장소가 있다고 여러분 바다 속 숲이 나무로 이루어진 숲보다 훨씬 더 많은 이산화탄소를 저장한다는 사실 알고 계셨나요 지구와의 공존을 위해 알아가는 이야기 에코페이퍼 와 함께 해보세요 바다숲 해양오염 환경오염 환경 쓰레기 씨스피라시 이산화탄소 마이에코 세제 경제적 친환경에코페이퍼 바다숲 해양오염 환경오염 환경 쓰레기 씨스피라시 이산화탄소 마이에코 세제 경제적 친환경,"['지구', '위', '장의', '시간', '나무', '숲', '이산화탄소', '저장', '소가', '여러분', '바다', '속', '숲', '나무', '숲', '더', '이산화탄소', '저장', '사실', '알', '지구', '공존', '위해', '이야기', '에코', '페이퍼', '바다', '숲', '해양오염', '환경오염', '환경', '쓰레기', '씨', '스피라', '시', '이산화탄소', '마이', '에코', '세제', '경제', '친환경', '에코', '페이퍼', '바다', '숲', '해양오염', '환경오염', '환경', '쓰레기', '씨', '스피라', '시', '이산화탄소', '마이', '에코', '세제', '경제', '친환경']"
228,부산현대미술관 층미술과환경자연에 관련된 예술작품전시회볼만함 무료임타임워커보러왔다가 같이봄 부산현대미술관 미술과환경 자연파괴 생태계파괴 환경오염 그림 사진 작품 볼만해부산현대미술관 미술과환경 자연파괴 생태계파괴 환경오염 그림 사진 작품 볼만해,"['부산', '현대', '미술관', '층', '미술', '환경', '자연', '관련', '예술', '작품', '전시회', '볼', '함', '무료', '임', '타임', '워커', '봄', '부산', '현대', '미술관', '미술', '환경', '자연', '파괴', '생태계', '파괴', '환경오염', '그림', '사진', '작품', '볼', '만해', '부산', '현대', '미술관', '미술', '환경', '자연', '파괴', '생태계', '파괴', '환경오염', '그림', '사진', '작품', '볼', '만해']"
229,에코팀 영상에서 전하고 싶었던 말 바다키퍼는 바다쓰레기를 줍는 행위가 유난떠는 것이 아닌 모두가 함께 해야 할 일임 을 알리고자 해요 바다키퍼를 보고 한번이라도 비치클린을 한다면 바다가 이렇게 더러웠구나 깨닫게 되고 내가 지금부터라도 할 수 있는 일은 뭐가 있지 궁금할 땐 인스타그램을 통해 도움을 주는 길잡이가 되고 싶어요 우리 지금부터라도 일상에서 지구를 위한 실천을 해봅시다 내 일상에 과한 것이 있다면 덜어내고 줄이고 나누어요 그리고 오래오래 함께해요,"['에코', '팀', '영상', '전하', '말', '바다', '키퍼', '바다', '쓰레기', '행위', '유난', '것', '모두', '일임', '해', '바다', '키퍼', '보고', '한번', '비치', '클린', '바다', '내', '지금', '수', '일', '뭐', '땐', '인스타그램', '통해', '도움', '길잡이', '우리', '지금', '일상', '지구', '위', '실천', '내', '일상', '과', '것', '줄', '오래오래', '해']"
230,쓰담가족 쓰담걷기챌린지공원에서 운동 후 아이들과 주변 쓰레기 주우며 집에 귀가 합니닷 놀땐 몰랐는데 공원에 버려진 쓰레기가 많은지 몰랐다며다음에는 큰 봉투챙겨가자 며 아이들과느낀점 나눕니다 늘 뛰시는 쓰담원정대 분들대단하시고 감사합니닷 인스타에서 좋은것만 배워함께 합니다 좋은건함께해요 환경오염 주범 인간 나부터반성하는시간 쉽게생각했던자연 자연이내것도아닌데 내것마냥 나편한대로 당연함이아닌 늘감사함으로 아끼자 오하운 자기관리 년째유지어터 오늘도승리 차지혜처럼쓰담가족 쓰담걷기챌린지공원에서 쓰담원정대 좋은건함께해요 환경오염 주범 나부터반성하는시간 쉽게생각했던자연 자연이내것도아닌데 내것마냥 나편한대로 당연함이아닌 늘감사함으로 아끼자 오하운 자기관리 년째유지어터 오늘도승리 차지혜처럼,"['가족', '걷기', '린지', '공원', '운동', '후', '아이', '주변', '쓰레기', '주우', '집', '귀가', '합', '닷', '놀땐', '공원', '버려진', '쓰레기', '다음', '봉투', '며', '아이', '점', '늘', '원정', '분', '닷', '인스타', '것', '건', '해', '환경오염', '범', '인간', '나', '반성', '시간', '생각', '자연', '자연', '이내', '것', '것', '마냥', '나', '늘', '하운', '자기', '관리', '년', '유지', '터', '오늘', '승리', '차', '지혜', '가족', '걷기', '린지', '공원', '원정', '건', '해', '환경오염', '범', '나', '반성', '시간', '생각', '자연', '자연', '이내', '것', '것', '마냥', '나', '늘', '하운', '자기', '관리', '년', '유지', '터', '오늘', '승리', '차', '지혜']"
231,독소 독소세상 위험하다ㅡ 식품 환경오염ㅡ 기형아출산 암발병률 자폐성장애 등등ㅡ우리의 건강은 점점 위협받고 있다독소 독소세상 위험하다 식품 환경오염 기형아출산 암발병률 자폐성장애,"['독소', '독소', '세상', '식품', '환경오염', '기형', '출산', '발병', '률', '자폐', '장애', '등등', '우리', '건강', '점점', '위협', '독소', '독소', '세상', '식품', '환경오염', '기형', '출산', '발병', '률', '자폐', '장애']"
232,안녕하세요 국밥이들입니다 그동안 국밥이들의 스터디를 스토리로 전하다가 오늘 오랜만에 다큐추천 게시물을 들고 왔습니다 국밥이가 추천할 다큐는 씨스피라시 입니다 넷플릿스 제작의 씨스피라시 는 우리에게 익숙한 문제들에 새로운 접근으로 화제가 되었습니다 다큐멘터리 감독은 그가 사랑하는 바다가 플라스틱으로 덮이는 것을 보고 해양 보호를 위해 일상 속에서 할 수 있는 것들을 실천했는데요 이러한 행동으로는 바다가 온전히 회복될 수 없다고 느낀 감독이 근본적인 원인을 찾아나서는 것이 다큐멘터리의 핵심입니다 국밥이들은 감독이 찾은 근본적인 원인들에 대해 함께 이야기 나눠봤으며 그렇다면 우리가 할 수 있는 것에는 무엇이 있을지 고민해봤습니다 더 자세한 내용은 국밥이들 블로그에 놀러와서 확인해주세요 링크는 프로필에 걸어두었습니다 국제개발다큐 다큐멘터리 씨스피라시 다큐리뷰 넷플릭스 환경오염 해양보호 국제개발협력 국제개발협력스터디국제개발다큐 다큐멘터리 씨스피라시 다큐리뷰 넷플릭스 환경오염 해양보호 국제개발협력 국제개발협력스터디,"['국밥', '그동안', '국밥', '스터디', '스토리', '전하', '다가', '오늘', '만', '다큐', '추천', '게시', '물', '국밥', '추천', '다큐', '씨', '스피라', '시', '넷플릿스', '제작', '씨', '스피라', '시', '우리', '문제', '접근', '화제', '다큐멘터리', '감독', '그', '사랑', '바다', '플라스틱', '것', '보고', '해양', '보호', '위해', '일상', '속', '수', '것', '실천', '행동', '바다', '회복', '수', '감독', '근본', '원인', '것', '다큐멘터리', '핵심', '국밥', '감독', '근본', '원인', '대해', '이야기', '우리', '수', '것', '무엇', '고민', '더', '내용', '국밥', '블로그', '놀러와', '확인', '링크', '프로필', '국제', '개발', '다큐', '다큐멘터리', '씨', '스피라', '시', '다큐', '리뷰', '넷플릭스', '환경오염', '해양', '보호', '국제', '개발', '협력', '국제', '개발', '협력', '스터디', '국제', '개발', '다큐', '다큐멘터리', '씨', '스피라', '시', '다큐', '리뷰', '넷플릭스', '환경오염', '해양', '보호', '국제', '개발', '협력', '국제', '개발', '협력', '스터디']"
233,안녕하세요친환경 바이오 베이스 플라스틱 원료와 제품을 생산하는 친환경 소재 기업 입니다 에코네이쳐 안보시고 지나가면 후회하는 정보입니다 친환경 친환경포장 친환경제품 바이오베이스플라스틱 환경보호 식품 식품포장재 식품가공 식품포장 식품유통 포장재 멀칭필름 채소 야채 과일 육류 수산물 에코락 김치 김치보관통 항균 특허 기술 자체생산 자체제작 환경오염 제로웨이스트 지구온난화친환경 친환경포장 친환경제품 바이오베이스플라스틱 환경보호 식품 식품포장재 식품가공 식품포장 식품유통 포장재 멀칭필름 채소 야채 과일 육류 수산물 에코락 김치 김치보관통 항균 특허 기술 자체생산 자체제작 환경오염 제로웨이스트 지구온난화,"['친환경', '바이오', '베이스', '플라스틱', '원료', '제품', '생산', '친환경', '소재', '기업', '에코', '네이쳐', '후회', '정보', '친환경', '친환경', '포장', '친환경', '제품', '바이오', '베이스', '플라스틱', '환경보호', '식품', '식품', '포장재', '식품', '가공', '식품', '포장', '식품', '유통', '포장재', '멀칭', '필름', '채소', '야채', '과일', '육류', '수산물', '에코', '락', '김치', '김치', '보관', '통', '항균', '특허', '기술', '자체', '생산', '자체', '제작', '환경오염', '제로', '웨', '이스트', '지구온난화', '친환경', '친환경', '포장', '친환경', '제품', '바이오', '베이스', '플라스틱', '환경보호', '식품', '식품', '포장재', '식품', '가공', '식품', '포장', '식품', '유통', '포장재', '멀칭', '필름', '채소', '야채', '과일', '육류', '수산물', '에코', '락', '김치', '김치', '보관', '통', '항균', '특허', '기술', '자체', '생산', '자체', '제작', '환경오염', '제로', '웨', '이스트', '지구온난화']"
