본문,해쉬태그
#행복미소시장놀이🛍⠀⠀🍇🍎🍏🍑🥝🍆🥕🥔🌶🥒🧅⠀일년에 한번!!⠀딱 한번 열리는 시장입니다😄⠀늦으면~🎵🎶 못사요~🎵⠀다 떨어집니다아~~~~🎶⠀당근 사세요오~~~~⠀사과 사세요오~~~~⠀손님♡ 여기 좀 와 보세요😆⠀⠀현대인의 필수품 마스크😷⠀패션의 완성 썬글라스😎⠀여름 물놀이 필수품 비치볼🤽‍♂️🤽‍♀️⠀그 외 다양한 쥬스와 까까들~~~🍿🍹⠀달콤 시원한 아킴까지🍦⠀각 잡힌 샤네르가방 메고서 ⠀신나는 쇼핑을 했답니다🧡⠀⠀두 손은 무겁게😚⠀집으로 가는 발걸음은 가벼웁게😆⠀⠀#시장놀이 #쇼핑은즐거워⠀#얼마예요? #거스름돈은없어요ㅋ⠀#내년에또만나요👋,"['행복미소시장놀이', '시장놀이', '쇼핑은즐거워', '얼마예요', '거스름돈은없어요', '내년에또만나요']"
#파란하늘🌞⠀⠀비 그치고 너무 깨끗한 날⠀오랜만에 놀이터🎡⠀⠀강아지풀 어디 있지??⠀👦👧👦👧⠀간질간질🌱 선생님 여기 있어요🙋‍♂️🙋‍♀️⠀⠀내일은 물총 놀이 하는 날💦🔫⠀기대해💙💜🧡💛,['파란하늘']
#오늘의간식🍈🌭⠀⠀달콤한 메론과 우리밀 핫도그💜⠀초록야채.과일이 든🧃⠀유산균 음료 하이요 그린💚⠀⠀추적추적 비오는 날☔⠀코~ 자고 일어나면 ⠀귀염둥이들 맛있게 먹길 바래요😄⠀⠀#행복미소어린이집#맛있는간식 #무럭무럭자라요⠀#비오는날 #코코낸내🥱⠀#이제일어날시간이야😉,"['오늘의간식', '행복미소어린이집', '맛있는간식', '무럭무럭자라요', '비오는날', '코코낸내', '이제일어날시간이야']"
#축하해요👑⠀⠀많이 기다린만큼 더더더 멋지게!!😊⠀⠀생파하기 너무 좋은 날씨☘⠀아가들아♡아프지 말고 건강하게⠀자라주렴 너무너무 축하해요😉⠀⠀#3월4월생 #합동생일파티🎁⠀#6월은 #부디 #제날짜할수있기를🙏⠀#오늘생일상주인공은 #수박포키🍉 ⠀#풍성한바나나머리가포인트💕,"['축하해요', '3월4월생', '합동생일파티', '6월은', '부디', '제날짜할수있기를', '오늘생일상주인공은', '수박포키', '풍성한바나나머리가포인트']"
#택배왔어요🚚🚛⠀⠀어버이날 이벤트💜⠀택배 뜯는 기분까지 선물합니다😁⠀예쁜 아가들이 만든 카네이션 다발💐⠀필수품 마스크와 피로회복제🧃⠀그리고 세상에서 제일 멋지고 예쁜⠀엄마❤아빠를 위한 감사장까지💌⠀오늘 하루 화창한 날씨만큼이나⠀행복한 하루이길 바래요💕⠀⠀#택배이벤트🥳 #어버이날⠀#세상예쁜아가들 #최고선생님⠀#함께한 #콜라보레이션 ⠀#행복한어버이날 #즐거운어린이집🏡#엄마아빠사랑해요,"['택배왔어요', '택배이벤트', '어버이날', '세상예쁜아가들', '최고선생님', '함께한', '콜라보레이션', '행복한어버이날', '즐거운어린이집', '엄마아빠사랑해요']"
풀무원에 이어 cj아워홈계약다양한식재료들이 많아 신난다.#풀무원바른먹거리#cj아워홈#다양한직재료로#더맛있게해줄수있는데#애들이읍네#코로나물러가라,"['풀무원바른먹거리', 'cj아워홈', '다양한직재료로', '더맛있게해줄수있는데', '애들이읍네', '코로나물러가라']"
부산 키자니아 방문💚.이모야가 예약해줘서 너네가 호광하네 나중에 이모한테 잘해라🤣 @blanco_studio_ ....#키자니아부산.#기다리는시간이넘길다.#풀무원바른먹거리 #생오렌지쥬스한잔🤣,"['키자니아부산', '기다리는시간이넘길다', '풀무원바른먹거리', '생오렌지쥬스한잔']"
아들과함께 키자니아고고~~~^^ #부산키자니아#키자니아부산#센텀키자니아#직업체험#5세아들맘그래#5세아들#부산맘그램#바쁘다바뻐#아들과함께#유치원땡땡이#힘들다#체력딸린다#경찰관체험#야구선수체험#풀무원바른먹거리#풀무원쿠킹클래스#착즙오렌지주스#이마트체험#양궁체험#종근당락토핏체험#센텀시티몰#아직도할게많네#아들과단둘이,"['부산키자니아', '키자니아부산', '센텀키자니아', '직업체험', '5세아들맘그래', '5세아들', '부산맘그램', '바쁘다바뻐', '아들과함께', '유치원땡땡이', '힘들다', '체력딸린다', '경찰관체험', '야구선수체험', '풀무원바른먹거리', '풀무원쿠킹클래스', '착즙오렌지주스', '이마트체험', '양궁체험', '종근당락토핏체험', '센텀시티몰', '아직도할게많네', '아들과단둘이']"
2019. 03. 20#키자니아 #45%할인권#후시딘#롯데리아#풀무원바른먹거리오빠랑 서로 보고 좋아하궁이맛에 키우는거지모ㅋㅋ사이좋게 지내그라 2호3호2호는 9개클리어#다둥이맘🍼 #다둥이맘에게는_불가능은_없다#엄마는피곤해😪#아들도치맘🐗#키자니아서울,"['키자니아', '45', '후시딘', '롯데리아', '풀무원바른먹거리오빠랑', '다둥이맘', '다둥이맘에게는', '엄마는피곤해', '아들도치맘', '키자니아서울']"
2019. 3. 20#키자니아 #키자니아서울 #반려동물지킴이 #햄버거#풀무원바른먹거리#패션모델#간호사_신생아돌보기#백화점칭구 아연이랑 예린언니랑총 10개체험했다.#딸스타그램💕💖💞 #딸도치맘🐗 #하얗게불태웠어🔥 #엄마는개피곤🐶,"['키자니아', '키자니아서울', '반려동물지킴이', '햄버거', '풀무원바른먹거리', '패션모델', '간호사', '백화점칭구', '딸스타그램', '딸도치맘', '하얗게불태웠어', '엄마는개피곤']"
말이 필요없는체력만 필요한 #키자니아부산 #오뚜기식품#롯데가나초콜렛#풀무원바른먹거리,"['키자니아부산', '오뚜기식품', '롯데가나초콜렛', '풀무원바른먹거리']"
#키자니아#풀무원바른먹거리#직업채험#잠실롯데월드#캘러그,"['키자니아', '풀무원바른먹거리', '직업채험', '잠실롯데월드', '캘러그']"
#새해#키자니아새해를 키자니아에서..급와서 어리둥절한 엄마신난 은유#바른먹거리 #풀무원새해에도 밝게 이쁘게  커주렴♡드디어 자기도 10대가 되었다고 신나하는 은유. 언젠간 나이먹은게 싫다 하는 날이 오겠지만 지금은 맘껏 기뻐해 🤣😂🤣🤣🤣 쿠키맛있게 만들어와#노동력착취중#은유 #너의꿈을응원해 #똥그리 #키즈 #아역 #연기수업중 #해맑은아이 #긍정아이 #연기수업 #열정은유 #열정왕#바른아이#키자니아#풀무원바른먹거리#스테이지631키즈,"['새해', '키자니아새해를', '바른먹거리', '풀무원새해에도', '노동력착취중', '은유', '너의꿈을응원해', '똥그리', '키즈', '아역', '연기수업중', '해맑은아이', '긍정아이', '연기수업', '열정은유', '열정왕', '바른아이', '키자니아', '풀무원바른먹거리', '스테이지631키즈']"
#부산키자니아 #플로리스트 #동물병원 #롯데리아 #경찰관 #풀무원바른먹거리 #가그린치과 #오뚜기라면공장 #칠성사이다공장 #사진에없는 #마술쇼까지 #하얗게불태웠다🔥🔥,"['부산키자니아', '플로리스트', '동물병원', '롯데리아', '경찰관', '풀무원바른먹거리', '가그린치과', '오뚜기라면공장', '칠성사이다공장', '사진에없는', '마술쇼까지', '하얗게불태웠다']"
#미세먼지나쁨 일땐 실내로 무조건!!!오랫만에 방문한 #키자니아잠실 은 역시 좋다 #키자니아평일2부체험 으로 들어와서 널널하고 오늘 첫체험은 #풀무원바른먹거리 샐러드에서 오떡오떡으로 바뀌엇는데 더 좋아한다ㅎㅎ 손으로 조물조물 #오감발달 에도 굿!!#키자니아서울 #애스타그램 #일상 #서울갈만한곳 #서울실내가볼만한곳 #아이랑갈만한곳 #키자니아 #일상 #딸스타그램,"['미세먼지나쁨', '키자니아잠실', '키자니아평일2부체험', '풀무원바른먹거리', '오감발달', '키자니아서울', '애스타그램', '일상', '서울갈만한곳', '서울실내가볼만한곳', '아이랑갈만한곳', '키자니아', '일상', '딸스타그램']"
