,명사,횟수
794,환경재단,8
795,무의,8
796,로봇,8
797,서초,8
798,탐조,8
799,도지,7
800,넷,7
801,탐사,7
802,길거리,7
803,가요,7
804,수온,7
805,바닷물,7
806,핵융합,7
807,뭔가,7
808,북극곰,7
809,건데,7
810,욕,7
811,발급,7
812,자국,7
813,정작,7
814,ㅅ,7
815,접속,7
816,종목,7
817,대화,7
818,그물,7
819,아무,7
820,지랄,7
821,재해,7
822,ㄴ,7
823,에너지원,7
824,수위,7
825,선생,7
826,폐지,7
827,총괄,7
828,명분,7
829,ㄱ,7
830,인종,7
831,덕,7
832,액,7
833,리뷰,7
834,중동,7
835,장례,7
836,번식,7
837,왕,7
838,오일,7
839,앨범,7
840,폭탄,7
841,혼자,7
842,쇼핑,7
843,격리,7
844,묘사,7
845,골판지,7
846,매입,7
847,인재,7
848,가슴,7
849,공문,7
850,암거,7
851,난항,7
852,수차례,7
853,세분,7
854,정제,7
855,서산시,7
856,소나무,7
857,자사,7
858,임신,7
859,누적,7
860,스칸디나비아,7
861,발행,7
862,부각,7
863,추,7
864,퍼포먼스,7
865,인쇄,7
866,털,7
867,마포구,7
868,이명박,7
869,시선,7
870,폭력,7
871,건의문,7
872,도지사,7
873,걸프,7
874,기증,7
875,김포시,7
876,첨가,7
877,향,7
878,모,7
879,소셜,7
880,원활,7
881,추부트,7
882,릴,7
883,무인,7
884,휴식,7
885,보령시,7
886,자격증,7
887,독려,7
888,공인,7
889,야간,7
890,참가,7
891,방사성,7
892,벤,7
893,희생,7
894,가게,7
895,메시지,7
896,수십억,7
897,지출,7
898,국방,7
899,풀무원,7
900,시흥,7
901,봉안,7
902,한때,7
903,모집,7
904,꿀,7
905,육박,7
906,구현,7
907,자제,7
908,중시,7
909,관점,7
910,폴리에스테르,7
911,사탕수수,7
912,대면,7
913,캔,7
914,발사,7
915,서해,7
916,운용,7
917,초대,7
918,항소심,7
919,회의소,7
920,수석,7
921,모니터,7
922,명덕,7
923,수칙,7
924,조언,7
925,챌린지,7
926,지시,7
927,상담,7
928,오산,7
929,피터,7
930,정량,7
931,해수,7
932,농축,7
933,소멸,7
934,대의,7
935,원동력,7
936,고향,7
937,둘째,7
938,폐,7
939,티셔츠,7
940,혼합,7
941,교육부,7
942,몰,7
943,쿱,7
944,전세,7
945,분량,7
946,시중,7
947,고정,7
948,캐나다,7
949,재로,7
950,위안부,7
951,소녀,7
952,수변,7
953,수산,7
954,시골,7
955,나주,7
956,간담회,7
957,동절기,7
958,공통,7
959,최저,7
960,이자,7
961,감시단,7
962,토로,7
963,민생,7
964,이동식,7
965,일환,7
966,한화케미칼,7
967,윈터스,7
968,저수지,7
969,수렴,7
970,백서,7
971,검진,7
972,물리,7
973,과목,7
974,학,7
975,유전,7
976,장바구니,7
977,궤도,7
978,유니티,7
979,오리진,7
980,중증,7
981,학계,7
982,디시,7
983,청문,7
984,레이저,7
985,국경세,7
986,패키지,7
987,감도,7
988,환원,7
989,석포면,7
990,상당수,7
991,휴양지,7
992,백사장,7
993,한미,7
994,폭행,7
995,중공업,7
996,요건,7
997,도달,7
998,상업,7
999,전자파,7
1000,자극,7
1001,밥,7
1002,환경친화,7
1003,국정,7
1004,침몰,7
1005,의도,7
1006,전투기,7
1007,안개,7
1008,금련,7
1009,광해,7
1010,마창민,7
1011,높이,7
1012,경향신문,7
1013,민설,7
1014,오정동,7
1015,도금,7
1016,성명서,7
1017,사우스,7
1018,여과,7
1019,휴양소,7
1020,원소,7
1021,제조사,7
1022,대로,7
1023,시비,7
1024,생물학,7
1025,전분,7
1026,별개,7
1027,음식점,7
1028,벽돌,7
1029,도서관,7
1030,일체,7
1031,샤워기,7
1032,의,7
1033,진흥,7
1034,임야,7
1035,후원,7
1036,부여군,7
1037,거기,7
1038,역법,7
1039,어장,7
1040,동화,7
1041,패턴,7
1042,이호,7
1043,테우,7
1044,밀폐,7
1045,야크,7
1046,저해,7
1047,거물대리,7
1048,개발자,7
1049,음악,7
1050,직면,7
1051,남용,7
1052,류연기,7
1053,대대,7
1054,근,7
1055,팬츠,7
1056,코튼,7
1057,세계유산,7
1058,월동,7
1059,알락꼬리마도요,7
1060,구례,7
1061,박남춘,7
1062,패각,7
1063,평형,7
1064,검사원,7
1065,대포,7
1066,개사,7
1067,병사,7
1068,합성,7
1069,발명,7
1070,일가,7
1071,애니,7
1072,태반,7
1073,변형,7
1074,지렁이,7
1075,학습,7
1076,유휴지,7
1077,약국,7
1078,불용,7
1079,친화,7
1080,모녀,7
1081,전자기파,7
1082,인접,6
1083,중반,6
1084,건가,6
1085,그거,6
1086,처치,6
1087,생수병,6
1088,놈,6
1089,자전거,6
1090,본인,6
1091,세력,6
1092,스토리,6
1093,뭘,6
1094,매연,6
1095,번호,6
1096,북,6
1097,저거,6
1098,만약,6
1099,지능,6
1100,귀,6
1101,즈,6
1102,철수,6
1103,후손,6
1104,죄,6
1105,폭우,6
1106,재단,6
1107,그걸,6
1108,생육,6
1109,소고기,6
1110,문명,6
1111,동남아,6
1112,국제기구,6
1113,공방,6
1114,마,6
1115,오염물,6
1116,달성군,6
1117,공무,6
1118,고갈,6
1119,소금,6
1120,침출,6
1121,신중,6
1122,운전,6
1123,고부,6
1124,빌딩,6
1125,장거리,6
1126,타워,6
1127,강세,6
1128,요리,6
1129,급성,6
1130,오픈,6
1131,회관,6
1132,약식,6
1133,트렌치코트,6
1134,지인,6
1135,그날,6
1136,류,6
1137,영남,6
1138,실상,6
1139,영어,6
1140,세월,6
1141,취수,6
1142,기형아,6
1143,대학원,6
1144,암반,6
1145,대선,6
1146,인수,6
1147,비서관,6
1148,정권,6
1149,표면,6
1150,대사관,6
1151,케,6
1152,미호,6
1153,새벽,6
1154,해운,6
1155,관영,6
1156,배상금,6
1157,액수,6
1158,페르시아만,6
1159,툰,6
1160,긴급,6
1161,경주,6
1162,학예,6
1163,고개,6
1164,햇빛,6
1165,옥내,6
1166,유연탄,6
1167,로드맵,6
1168,청취,6
1169,액체,6
1170,애플,6
1171,오렌지,6
1172,대나무,6
1173,용인시,6
1174,주간,6
1175,골칫거리,6
1176,휴지,6
1177,반납,6
1178,문구,6
1179,르포,6
1180,공학부,6
1181,미량,6
1182,졸업,6
1183,동구,6
1184,어로,6
1185,오물,6
1186,요구량,6
1187,기형,6
1188,요령,6
1189,찬성,6
1190,정류장,6
1191,주차장,6
1192,마린,6
1193,창문,6
1194,창업자,6
1195,빌,6
1196,팔레스타인,6
1197,부합,6
1198,스티커,6
1199,하겐다즈,6
1200,수업,6
1201,유부도,6
1202,신안,6
1203,도요,6
1204,강점기,6
1205,밀착,6
1206,전주,6
1207,후보지,6
1208,골머리,6
1209,군포,6
1210,기업인,6
1211,수확,6
1212,리사이클링,6
1213,각광,6
1214,유래,6
1215,연상,6
1216,기한,6
1217,역설,6
1218,공동체,6
1219,헌법,6
1220,일례,6
1221,질서,6
1222,동일,6
1223,범행,6
1224,역점,6
1225,모금,6
1226,놀이,6
1227,콘텐츠,6
1228,연맹,6
1229,북쪽,6
1230,재능,6
1231,세부,6
1232,가치관,6
1233,초점,6
1234,연령,6
1235,고질,6
1236,회계,6
1237,주주,6
1238,고유,6
1239,상처,6
1240,후기,6
1241,교사,6
1242,태평양,6
1243,습식,6
1244,잔,6
1245,국경,6
1246,간과,6
1247,승객,6
1248,계열사,6
1249,라벨,6
1250,잇,6
1251,파도,6
1252,시즌,6
1253,자생,6
1254,세정,6
1255,액상,6
1256,주류,6
1257,손상,6
1258,전례,6
1259,시연회,6
1260,여주,6
1261,유족,6
1262,권익,6
1263,소극,6
1264,탄원서,6
1265,포화,6
1266,부부,6
1267,보건복지부,6
1268,시흥시,6
1269,미가동,6
1270,용수,6
1271,량도,6
1272,수시,6
1273,이동경,6
1274,악용,6
1275,시책,6
1276,시일,6
1277,폐유,6
1278,민감,6
1279,할당량,6
1280,당량,6
